
Date,Region,Location,WorkOrders,EngineersAvailable,UtilizationPercent,TravelHours,Revenue
2024-01-01,South,Bangalore,320,25,82,210,1500000
2024-02-01,South,Bangalore,340,25,84,220,1600000
2024-03-01,South,Bangalore,360,26,86,230,1700000
2024-04-01,South,Bangalore,390,27,88,240,1800000
2024-05-01,South,Bangalore,420,28,90,260,1900000
2024-06-01,South,Bangalore,450,29,92,280,2100000
2024-07-01,South,Bangalore,470,30,93,300,2200000
2024-08-01,South,Bangalore,490,31,94,310,2250000
2024-09-01,South,Bangalore,520,32,95,320,2400000
2024-10-01,South,Bangalore,540,33,96,330,2550000
2024-11-01,South,Bangalore,570,34,97,345,2700000
2024-12-01,South,Bangalore,610,36,98,360,3000000

2024-01-01,West,Mumbai,280,22,80,180,1200000
2024-02-01,West,Mumbai,295,22,82,190,1250000
2024-03-01,West,Mumbai,310,23,84,200,1300000
2024-04-01,West,Mumbai,330,24,85,210,1400000
2024-05-01,West,Mumbai,350,25,87,220,1500000
2024-06-01,West,Mumbai,375,26,89,230,1650000
